match_id,division,match_date,section,team,player,goals,goal_minutes,source_url,note
2025_D1_m30,1部,2025-06-28,第8節,VONDS市原FCレディ－スU-15,長谷莉衣菜,1,25分,https://u15.kantolsl.com/2025/div1/m30,
2025_D1_m30,1部,2025-06-28,第8節,三菱重工浦和レッズレディースジュニアユース,徳生花音,2,23分|35分,https://u15.kantolsl.com/2025/div1/m30,
2025_D1_m31,1部,2025-06-29,第8節,小美玉フットボールアカデミー,服部由華,1,2分,https://u15.kantolsl.com/2025/div1/m31,team_heading_not_in_match:小美玉フットボールアカデミー
2025_D1_m31,1部,2025-06-29,第8節,小美玉フットボールアカデミー,奥村心奏,1,8分,https://u15.kantolsl.com/2025/div1/m31,team_heading_not_in_match:小美玉フットボールアカデミー
2025_D1_m31,1部,2025-06-29,第8節,小美玉フットボールアカデミー,寺門絢音,1,40分,https://u15.kantolsl.com/2025/div1/m31,team_heading_not_in_match:小美玉フットボールアカデミー
2025_D1_m31,1部,2025-06-29,第8節,ちふれASエルフェン埼玉マリU-15,松本芽生,1,78分,https://u15.kantolsl.com/2025/div1/m31,
2025_D1_m32,1部,2025-06-28,第8節,ノジマステラ神奈川相模原アヴェニーレ,松川明愛,1,1分,https://u15.kantolsl.com/2025/div1/m32,
2025_D1_m32,1部,2025-06-28,第8節,ノジマステラ神奈川相模原アヴェニーレ,綿引夏希,1,80+4分,https://u15.kantolsl.com/2025/div1/m32,
2025_D1_m33,1部,2025-09-07,第9節,VONDS市原FCレディ－スU-15,長谷莉衣菜,1,17分,https://u15.kantolsl.com/2025/div1/m33,
2025_D1_m33,1部,2025-09-07,第9節,VONDS市原FCレディ－スU-15,保坂美海,1,40+1分,https://u15.kantolsl.com/2025/div1/m33,
2025_D1_m33,1部,2025-09-07,第9節,VONDS市原FCレディ－スU-15,田中葉色,1,55分,https://u15.kantolsl.com/2025/div1/m33,
2025_D1_m34,1部,2025-09-06,第9節,横須賀シーガルズMEG,窪田心優,1,80+1分,https://u15.kantolsl.com/2025/div1/m34,
2025_D1_m35,1部,2025-09-06,第9節,ノジマステラ神奈川相模原アヴェニーレ,綿引夏希,1,61分,https://u15.kantolsl.com/2025/div1/m35,
